0,Artichoke
1,Red onion
2,Spinach
3,Sweet potato
4,Tomato
5,Yam
6,Asparagus
7,Carrot
8,Cauliflower
9,Celery
10,Chayote
11,Bamboo shoots
12,Bean sprouts
13,Green onion
14,Leek
15,Lettuce
16,Mushroom
17,Onion
18,Parsnip
19,Beans
20,Beetroot
21,Pepper
22,Potato
23,Pumpkin
24,Radicchio
25,Radish
26,Bell pepper
27,Broccoli
28,Brussels sprouts
29,Cabbage
30,Cactus pear
31,Collard greens
32,Corn
33,Cucumber
34,Eggplant
35,Endive
36,Escarole
37,Garlic
38,Green beans
39,Pea
40,Red cabbage
41,Red chili pepper
42,Yellow squash
43,Zucchini
